simAU
Inner Planet Mass	Outer Planet Mass	Percent Difference	Distance
1.6560000000000004e-05	2.1359999999999958e-05	28.985507246376528	0.20800838230519042* (1:3)	
1.596000000000001e-05	2.4479999999999928e-05	53.383458646616		0.2090909090909091	
1.608000000000001e-05	2.1359999999999958e-05	32.835820895522055	0.21313131313131314	
1.5120000000000014e-05	2.0879999999999963e-05	38.09523809523772	0.21717171717171718	
1.5600000000000013e-05	2.0519999999999966e-05	31.53846153846121	0.2194095738832282* (4:13)	
1.6560000000000004e-05	2.1839999999999954e-05	31.88405797101418	0.22121212121212122	
1.5000000000000014e-05	2.1839999999999954e-05	45.59999999999956	0.22314431669405652* (3:10)	
1.4880000000000013e-05	2.099999999999996e-05	41.12903225806413	0.22525252525252526	
1.5360000000000016e-05	2.111999999999996e-05	37.4999999999996	0.2292929292929293	
1.584000000000001e-05	2.1719999999999955e-05	37.12121212121174	0.23052181460292234* (2:7)	
1.5240000000000015e-05	2.3639999999999936e-05	55.1181102362199	0.23333333333333334	
1.5120000000000014e-05	2.1839999999999954e-05	44.444444444443995	0.23737373737373738	
1.5000000000000014e-05	2.207999999999995e-05	47.199999999999534	0.23778308299094353* (3:11)	
1.6440000000000005e-05	2.5079999999999923e-05	52.55474452554692	0.24141414141414141	
1.4640000000000012e-05	2.1479999999999957e-05	46.72131147540942	0.24545454545454545	
1.4760000000000013e-05	2.0879999999999963e-05	41.46341463414597	0.2494949494949495	
1.4760000000000013e-05	2.3639999999999936e-05	60.162601626015686	0.25198420997897464* (1:4)	
1.5240000000000015e-05	2.231999999999995e-05	46.456692913385346	0.2535353535353535	
1.5120000000000014e-05	2.2559999999999947e-05	49.20634920634871	0.25757575757575757	
1.5240000000000015e-05	2.2439999999999948e-05	47.24409448818849	0.26161616161616164	
1.4760000000000013e-05	2.231999999999995e-05	51.219512195121474	0.2656565656565657	
1.416000000000001e-05	1.919999999999998e-05	35.5932203389828	0.26579576997849247* (3:13)	
1.4520000000000012e-05	2.219999999999995e-05	52.89256198347061	0.2696969696969697	
1.5600000000000013e-05	2.219999999999995e-05	42.307692307691866	0.27256808892482093* (2:9)	
1.5360000000000016e-05	1.9559999999999975e-05	27.343749999999712	0.2737373737373737	
1.4640000000000012e-05	2.0639999999999965e-05	40.98360655737669	0.2777777777777778	
1.416000000000001e-05	2.003999999999997e-05	41.52542372881325	0.28181818181818186	
1.4760000000000013e-05	2.099999999999996e-05	42.276422764227256	0.28585858585858587	
1.4520000000000012e-05	2.0399999999999967e-05	40.4958677685947	0.2898989898989899	
1.4400000000000011e-05	2.3519999999999937e-05	63.333333333332774	0.2924017738212866* (1:5)	
1.404000000000001e-05	2.027999999999997e-05	44.44444444444412	0.29393939393939394	
1.5000000000000014e-05	1.9559999999999975e-05	30.399999999999714	0.297979797979798	
1.4400000000000011e-05	2.015999999999997e-05	39.99999999999968	0.302020202020202	
1.4400000000000011e-05	2.3759999999999935e-05	64.99999999999943	0.30606060606060603	
1.4880000000000013e-05	2.027999999999997e-05	36.290322580644826	0.3101010101010101	
1.3800000000000008e-05	2.027999999999997e-05	46.95652173913011	0.3115839842184876* (2:11)	
1.428000000000001e-05	1.895999999999998e-05	32.77310924369725	0.31414141414141417	
1.4400000000000011e-05	1.9679999999999974e-05	36.66666666666638	0.3181818181818182	
1.3560000000000007e-05	2.0639999999999965e-05	52.21238938053063	0.3222222222222222	
1.416000000000001e-05	1.9679999999999974e-05	38.98305084745735	0.32626262626262625	
