ttor
Inner planet mass	Outer planet mass	Percent Difference	Seed
0.005379999999999947	0.0	100.0	7	
0.005929999999999925	0.0	100.0	0	
0.0053499999999999485	0.0	100.0	3	
0.004259999999999993	0.004899999999999967	15.023474178403168	6	
0.004739999999999973	0.00456999999999998	3.586497890295233	1	
0.004299999999999991	0.0049099999999999665	14.186046511627357	strict	
0.004519999999999982	0.0	100.0	4	
0.005699999999999934	0.0035000000000000066	38.596491228069354	8	
0.005739999999999933	0.0	100.0	9	
0.0052299999999999534	0.0	100.0	5	
