simAU
Inner planet mass	Outer planet mass	Percent Difference	Distance
1.6350000000000007e-06	1.6350000000000007e-06	0.0	0.1	
1.695000000000001e-06	1.695000000000001e-06	0.0	0.10656022367666107	
1.7850000000000013e-06	1.6200000000000006e-06	9.243697478991631	0.11212121212121212	
1.710000000000001e-06	1.725000000000001e-06	0.8771929824561437	0.10808080808080808	
1.6500000000000007e-06	1.6350000000000007e-06	0.9090909090909128	0.12114137285547598	
1.6200000000000006e-06	1.6800000000000009e-06	3.7037037037037193	0.1182396075591909	
1.695000000000001e-06	1.695000000000001e-06	0.0	0.10816871777305564	
1.6650000000000008e-06	1.725000000000001e-06	3.6036036036036183	0.10727659828951441	
1.6350000000000007e-06	1.6200000000000006e-06	0.9174311926605543	0.11911384251964328	
1.6200000000000006e-06	1.6200000000000006e-06	0.0	0.12684342882037156	
1.6500000000000007e-06	1.6500000000000007e-06	0.0	0.11616161616161616	
1.6500000000000007e-06	1.6050000000000005e-06	2.7272727272727386	0.12514649491351945	
1.6350000000000007e-06	1.6500000000000007e-06	0.9174311926605543	0.12365218608121753	
1.6200000000000006e-06	1.6350000000000007e-06	0.9259259259259298	0.12828282828282828	
1.6050000000000005e-06	1.710000000000001e-06	6.542056074766382	0.12778127834700254	
1.7550000000000012e-06	1.6350000000000007e-06	6.837606837606865	0.11431418309001973	
1.6500000000000007e-06	1.6200000000000006e-06	1.8181818181818257	0.1202020202020202	
1.725000000000001e-06	1.710000000000001e-06	0.8695652173913079	0.10931035330127936	
1.5750000000000004e-06	1.6500000000000007e-06	4.761904761904782	0.12424242424242425	
1.695000000000001e-06	1.7850000000000013e-06	5.309734513274358	0.10404040404040404	
1.695000000000001e-06	1.725000000000001e-06	1.7699115044247857	0.11082332935251626	
1.6050000000000005e-06	1.725000000000001e-06	7.476635514018723	0.1160397208403195	
1.725000000000001e-06	1.710000000000001e-06	0.8695652173913079	0.11292432346572341	
1.6050000000000005e-06	1.6800000000000009e-06	4.672897196261702	0.13679807573413577	
1.6200000000000006e-06	1.710000000000001e-06	5.5555555555555785	0.15340366443789158	
1.6200000000000006e-06	1.6350000000000007e-06	0.9259259259259298	0.1497939557845947	
1.6050000000000005e-06	1.6200000000000006e-06	0.9345794392523403	0.15252525252525254	
1.6350000000000007e-06	1.6500000000000007e-06	0.9174311926605543	0.1467523221730945	
1.5600000000000003e-06	1.6350000000000007e-06	4.807692307692329	0.14444444444444446	
1.6050000000000005e-06	1.6500000000000007e-06	2.803738317757021	0.15108808205161317	
1.6200000000000006e-06	1.6650000000000008e-06	2.7777777777777892	0.13516464147013427	
1.6050000000000005e-06	1.725000000000001e-06	7.476635514018723	0.14040404040404042	
1.6350000000000007e-06	1.6500000000000007e-06	0.9174311926605543	0.13103706971044482	
1.6350000000000007e-06	1.6800000000000009e-06	2.7522935779816624	0.1484848484848485	
1.6200000000000006e-06	1.6650000000000008e-06	2.7777777777777892	0.143237083856131	
1.6050000000000005e-06	1.6800000000000009e-06	4.672897196261702	0.14057211088362487	
1.6200000000000006e-06	1.710000000000001e-06	5.5555555555555785	0.15656565656565657	
1.6050000000000005e-06	1.6350000000000007e-06	1.8691588785046807	0.14521964333909262	
1.6050000000000005e-06	1.6650000000000008e-06	3.7383177570093613	0.15280501503977428	
1.6350000000000007e-06	1.6200000000000006e-06	0.9174311926605543	0.13821937034197182	
1.6050000000000005e-06	1.695000000000001e-06	5.607476635514042	0.1479727244598282	
1.6200000000000006e-06	1.6350000000000007e-06	0.9259259259259298	0.13636363636363635	
1.6050000000000005e-06	1.695000000000001e-06	5.607476635514042	0.15205504988933502	
1.6200000000000006e-06	1.6650000000000008e-06	2.7777777777777892	0.13425290262178388	
