simAU
Inner Planet Mass	Outer Planet Mass	Percent Difference	Distance
0.001	0.001	0.0	0.3787878787878788	
0.001	0.001	0.0	0.38282828282828285	
0.001	0.001	0.0	0.3868686868686869	
0.001	0.001	0.0	0.3909090909090909	
0.001	0.001	0.0	0.39494949494949494	
0.001	0.001	0.0	0.398989898989899	
0.001	0.001	0.0	0.39999999999999997* (1:8)	
0.001	0.001	0.0	0.40303030303030307	
0.001	0.001	0.0	0.407070707070707	
0.001	0.001	0.0	0.4111111111111111	
0.001	0.001	0.0	0.41515151515151516	
0.001	0.001	0.0	0.4191919191919192	
0.001	0.001	0.0	0.4232323232323232	
0.001	0.001	0.0	0.42727272727272725	
0.001	0.001	0.0	0.4313131313131313	
0.001	0.001	0.0	0.43267487109222247* (1:9)	
0.001	0.001	0.0	0.4353535353535354	
0.001	0.001	0.0	0.43939393939393945	
0.001	0.001	0.0	0.4434343434343434	
0.001	0.001	0.0	0.44747474747474747	
0.001	0.001	0.0	0.45151515151515154	
0.001	0.001	0.0	0.4555555555555556	
0.001	0.001	0.0	0.45959595959595956	
0.001	0.001	0.0	0.4636363636363636	
0.001	0.001	0.0	0.46415888336127786* (1:10)	
0.001	0.001	0.0	0.4676767676767677	
0.001	0.001	0.0	0.47171717171717176	
0.001	0.001	0.0	0.4757575757575757	
0.001	0.001	0.0	0.4797979797979798	
0.001	0.001	0.0	0.48383838383838385	
0.001	0.001	0.0	0.4878787878787879	
0.001	0.001	0.0	0.491919191919192	
0.001	0.001	0.0	0.49460874432487006* (1:11)	
0.001	0.001	0.0	0.49595959595959593	
0.001	0.001	0.0	0.5	
