simAU
Inner Planet Mass	Outer Planet Mass	Percent Difference	Distance
0.0032900000000000034	0.0	100.0	0.10404040404040404	
0.003180000000000003	0.0	100.0	0.10727659828951441* (9:10)	
0.0033800000000000037	0.0	100.0	0.11082332935251626* (6:7)	
0.0034200000000000038	0.0	100.0	0.11292432346572341* (5:6)	
0.0033300000000000035	0.0	100.0	0.1160397208403195* (4:5)	
0.0030200000000000027	0.0	100.0	0.1182396075591909* (7:9)	
0.003490000000000004	0.0	100.0	0.1202020202020202	
0.003180000000000003	0.0	100.0	0.12114137285547598* (3:4)	
0.0030000000000000027	0.0	100.0	0.13679807573413577* (5:8)	
0.004069999999999999	0.0	100.0	0.16915381116229844* (5:11)	
