simAU
Inner planet mass	Outer planet mass	Percent Difference	Distance
0.0030200000000000027	0.0	100.0	0.1182396075591909	
0.003180000000000003	0.0	100.0	0.12114137285547598	
0.003490000000000004	0.0	100.0	0.1202020202020202	
0.0032900000000000034	0.0	100.0	0.10404040404040404	
0.003180000000000003	0.0	100.0	0.10727659828951441	
0.0033800000000000037	0.0	100.0	0.11082332935251626	
0.0034200000000000038	0.0	100.0	0.11292432346572341	
0.0033300000000000035	0.0	100.0	0.1160397208403195	
0.0030200000000000027	0.0	100.0	0.1182396075591909	
0.003180000000000003	0.0	100.0	0.12114137285547598	
0.003490000000000004	0.0	100.0	0.1202020202020202	
0.0030000000000000027	0.0	100.0	0.13679807573413577	
0.004069999999999999	0.0	100.0	0.16915381116229844
0.006459999999999903	0.008669999999999813	34.21052631578859	0.13516464147013427	
0.006319999999999909	0.008709999999999812	37.81645569620154	0.12828282828282828	
0.005439999999999945	0.008399999999999824	54.411764705880685	0.16744084278445925	
0.006269999999999911	0.008579999999999817	36.84210526315692	0.14057211088362487	
0.0062099999999999135	0.008629999999999815	38.96940418679445	0.14444444444444446	
0.006129999999999917	0.007989999999999841	30.342577487764267	0.13103706971044482	
0.006109999999999918	0.008859999999999806	45.00818330605442	0.14244021294130646	
0.0057699999999999314	0.00776999999999985	34.662045060657576	0.18908143891965618	
0.006179999999999915	0.008059999999999838	30.42071197410921	0.14521964333909262	
0.005999999999999922	0.007629999999999856	27.16666666666591	0.15252525252525254	
0.006309999999999909	0.007849999999999847	24.405705229793334	0.1484848484848485	
0.0067999999999998895	0.007699999999999853	13.235294117646735	0.17351936982146643	
0.006119999999999917	0.008389999999999825	37.09150326797285	0.15656565656565657	
0.006509999999999901	0.00851999999999982	30.87557603686557	0.10931035330127936	
0.006279999999999911	0.00850999999999982	35.50955414012645	0.1467523221730945	
0.006939999999999884	0.008689999999999812	25.216138328529652	0.12684342882037156	
0.0061599999999999155	0.008209999999999832	33.279220779219884	0.1497939557845947	
0.006389999999999906	0.00823999999999983	28.951486697964818	0.13821937034197182	
0.006599999999999898	0.008199999999999832	24.24242424242363	0.12424242424242425	
0.006499999999999902	0.008909999999999803	37.07692307692213	0.13232323232323234	
0.006089999999999918	0.008339999999999827	36.94581280788076	0.16528722546144864	
0.005699999999999934	0.005649999999999936	0.8771929824561148	0.12365218608121753	
