simAU
Inner planet mass	Outer planet mass	Percent Difference	Distance
0.002330000000000001	0.0	100.0	0.11616161616161616	
0.0022800000000000008	0.0	100.0	0.10808080808080808	
0.0022500000000000007	0.0	100.0	0.11212121212121212	
0.0022500000000000007	0.0	100.0	0.11082332935251626	
0.0022400000000000007	0.0	100.0	0.12424242424242425	
0.002290000000000001	0.0	100.0	0.11911384251964328	
0.002310000000000001	0.0	100.0	0.12114137285547598	
0.002330000000000001	0.0	100.0	0.12684342882037156	
0.0026200000000000017	0.0	100.0	0.12514649491351945	
0.0026200000000000017	0.0	100.0	0.11292432346572341	
0.0029500000000000025	0.0	100.0	0.13679807573413577	
0.002720000000000002	0.0	100.0	0.10727659828951441	
