simAU
Inner planet mass	Outer planet mass	Percent Difference	Distance
5.968200000000001e-05	0.0	100.0	0.10656022367666107	
6.056400000000001e-05	0.0	100.0	0.10808080808080808	
6.585600000000003e-05	0.0	100.0	0.11082332935251626	
3.792600000000003e-05	6.644399999999999e-05	75.19379844961223	0.49595959595959593	
5.497800000000008e-05	4.792200000000006e-05	12.834224598930502	0.11431418309001973	
5.086200000000007e-05	5.174400000000007e-05	1.7341040462427775	0.11911384251964328	
5.674200000000009e-05	5.027400000000007e-05	11.398963730569967	0.10816871777305564	
4.9392000000000065e-05	4.9392000000000065e-05	0.0	0.12828282828282828	
4.733400000000006e-05	5.5566000000000084e-05	17.39130434782612	0.12114137285547598	
4.880400000000006e-05	4.9098000000000064e-05	0.6024096385542179	0.12514649491351945	
3.851400000000003e-05	6.673799999999998e-05	73.28244274809141	0.5	
4.380600000000005e-05	4.762800000000006e-05	8.724832214765119	0.11292432346572341	
5.321400000000008e-05	5.791800000000009e-05	8.839779005524877	0.10404040404040404	
4.9686000000000066e-05	4.9392000000000065e-05	0.591715976331362	0.10727659828951441	
4.498200000000005e-05	4.5864000000000054e-05	1.9607843137254939	0.12778127834700254	
4.5864000000000054e-05	4.674600000000006e-05	1.9230769230769267	0.11616161616161616	
4.410000000000005e-05	4.380600000000005e-05	0.666666666666668	0.10931035330127936	
4.674600000000006e-05	4.851000000000006e-05	3.773584905660384	0.12684342882037156	
4.204200000000004e-05	4.2630000000000044e-05	1.3986013986014016	0.12424242424242425	
4.821600000000006e-05	4.439400000000005e-05	7.926829268292697	0.1160397208403195	
3.9984000000000036e-05	4.733400000000006e-05	18.38235294117651	0.12365218608121753	
4.733400000000006e-05	4.233600000000004e-05	10.559006211180144	0.11212121212121212	
4.233600000000004e-05	4.145400000000004e-05	2.083333333333338	0.1202020202020202	
4.233600000000004e-05	3.9690000000000035e-05	6.250000000000012	0.1182396075591909	
5.2920000000000076e-05	5.056800000000007e-05	4.444444444444452	0.14057211088362487	
5.439000000000008e-05	5.115600000000007e-05	5.945945945945955	0.13103706971044482	
4.851000000000006e-05	4.6158000000000055e-05	4.8484848484848575	0.13821937034197182	
4.527600000000005e-05	4.880400000000006e-05	7.792207792207807	0.13636363636363635	
3.439800000000002e-05	3.528000000000002e-05	2.5641025641025705	0.1	
3.6456000000000025e-05	6.08580000000001e-05	66.9354838709679	0.3101010101010101	
3.9690000000000035e-05	6.232800000000007e-05	57.037037037037074	0.32626262626262625	
4.468800000000005e-05	4.6158000000000055e-05	3.289473684210533	0.13232323232323234	
4.9686000000000066e-05	5.115600000000007e-05	2.95857988165681	0.15340366443789158	
3.763200000000003e-05	6.05640000000001e-05	60.93750000000014	0.28181818181818186	
4.498200000000005e-05	4.9686000000000066e-05	10.457516339869303	0.13425290262178388	
4.6158000000000055e-05	4.9392000000000065e-05	7.006369426751606	0.1467523221730945	
4.762800000000006e-05	4.6158000000000055e-05	3.0864197530864255	0.14040404040404042	
3.910200000000003e-05	5.8800000000000094e-05	50.375939849624174	0.2898989898989899	
4.792200000000006e-05	4.998000000000007e-05	4.29447852760737	0.13516464147013427	
4.498200000000005e-05	4.674600000000006e-05	3.9215686274509878	0.14521964333909262	
3.6750000000000026e-05	7.61459999999998e-05	107.19999999999929	0.3747474747474747	
4.174800000000004e-05	5.203800000000007e-05	24.647887323943714	0.16464646464646465	
4.792200000000006e-05	5.321400000000008e-05	11.042944785276095	0.1606060606060606	
3.586800000000002e-05	6.203400000000008e-05	72.95081967213125	0.29393939393939394	
3.763200000000003e-05	7.11479999999999e-05	89.06249999999957	0.35858585858585856	
4.351200000000005e-05	4.998000000000007e-05	14.864864864864897	0.1484848484848485	
4.086600000000004e-05	6.262200000000007e-05	53.237410071942456	0.3909090909090909	
4.3218000000000046e-05	5.086200000000007e-05	17.68707482993201	0.16456623286043165	
4.439400000000005e-05	4.880400000000006e-05	9.933774834437106	0.15205504988933502	
3.733800000000003e-05	6.08580000000001e-05	62.99212598425211	0.2924017738212866	
4.351200000000005e-05	4.674600000000006e-05	7.432432432432448	0.13679807573413577	
3.880800000000003e-05	7.291199999999986e-05	87.87878787878736	0.3464646464646465	
4.204200000000004e-05	5.350800000000008e-05	27.27272727272733	0.20800838230519042	
3.6456000000000025e-05	6.468000000000002e-05	77.41935483870962	0.3343434343434344	
3.6456000000000025e-05	6.02700000000001e-05	65.32258064516144	0.24141414141414141	
3.733800000000003e-05	5.821200000000009e-05	55.90551181102376	0.2696969696969697	
3.822000000000003e-05	6.350400000000005e-05	66.15384615384615	0.38282828282828285	
3.792600000000003e-05	5.527200000000008e-05	45.73643410852724	0.3181818181818182	
4.057200000000004e-05	5.027400000000007e-05	23.91304347826092	0.18908143891965618	
4.792200000000006e-05	4.880400000000006e-05	1.8404907975460154	0.14244021294130646	
3.822000000000003e-05	5.762400000000009e-05	50.76923076923089	0.297979797979798	
4.057200000000004e-05	5.409600000000008e-05	33.33333333333341	0.19292929292929295	
3.9396000000000034e-05	5.115600000000007e-05	29.850746268656785	0.19229994270765446	
3.704400000000003e-05	5.350800000000008e-05	44.44444444444455	0.26161616161616164	
3.733800000000003e-05	5.8506000000000093e-05	56.692913385826905	0.2777777777777778	
3.851400000000003e-05	5.5860000000000085e-05	45.0381679389314	0.23778308299094353	
4.086600000000004e-05	4.792200000000006e-05	17.26618705035975	0.17676767676767677	
4.5864000000000054e-05	4.821600000000006e-05	5.1282051282051375	0.15108808205161317	
4.5864000000000054e-05	4.792200000000006e-05	4.487179487179495	0.1497939557845947	
